"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"nmstot",77,339,55.1946902654867,43.6946488552913,43,49.5677655677656,41.5128,1,223,222,1.16415556881248,1.16411076218141,2.37316756732793
"scmmotex",78,339,11.6548672566372,7.1535606785527,10,10.8131868131868,5.9304,0,41,41,1.22968318856822,1.84308968929995,0.388528083827313
"scmadl",79,339,7.04424778761062,4.31535591762905,7,6.70695970695971,4.4478,0,21,21,0.788522000823564,0.548763942556673,0.234377960997248
"scmmotcp",80,339,2.9646017699115,3.12726851211417,2,2.54945054945055,2.9652,0,12,12,0.861983499870796,-0.140639807102867,0.169849910726001
"scmtot",81,339,21.6637168141593,12.8730331084284,19,20.2307692307692,10.3782,2,72,70,1.14614890306167,1.47959998777072,0.699167185602895
"cisitot",82,339,8.55162241887906,4.8295952173572,8,8.15018315018315,4.4478,0,24,24,0.733294683928815,0.0649152541282167,0.262307605929329
"nms_d1c",83,339,0.418879056047198,0.494104814962899,0,0.399267399267399,0,0,1,1,0.327386605770906,-1.89839190726852,0.0268360898290757
"nms_d2c",84,339,0.864306784660767,0.342968731191539,1,0.952380952380952,0,0,1,1,-2.1181647208283,2.49400481012512,0.0186275045296034
"nms_d3c",85,339,0.740412979351032,0.439056082003937,1,0.798534798534799,0,0,1,1,-1.09190514080586,-0.810106779776382,0.023846253061801
"nms_d4c",86,339,0.292035398230089,0.455370632501089,0,0.241758241758242,0,0,1,1,0.910691740172505,-1.17407783159604,0.024732337814275
"nms_d5c",87,339,0.648967551622419,0.477998596972106,1,0.684981684981685,0,0,1,1,-0.621458390286513,-1.61853783782075,0.0259613201451574
"nms_d6c",88,339,0.690265486725664,0.46306758266262,1,0.736263736263736,0,0,1,1,-0.819337127905985,-1.33259154010975,0.0251503787636639
"nms_d7c",89,339,0.752212389380531,0.432365999038032,1,0.813186813186813,0,0,1,1,-1.16322005241308,-0.648806915148654,0.0234828976319406
"nms_d8c",90,339,0.28023598820059,0.449778318575697,0,0.227106227106227,0,0,1,1,0.974327713581401,-1.05376788717048,0.024428605014453
"nms_d9c",91,339,0.876106194690266,0.329947369736193,1,0.967032967032967,0,0,1,1,-2.27307001834047,3.17624283539129,0.0179202812540343
"nms1_c",92,339,0.404129793510324,0.491448222994924,0,0.380952380952381,0,0,1,1,0.389002946996786,-1.85412000856313,0.0266918035591734
"nms2_c",93,339,0.106194690265487,0.308542053324904,0,0.010989010989011,0,0,1,1,2.54515478796474,4.49108701822228,0.0167577040504985
"nms3_c",94,339,0.392330383480826,0.488991411563627,0,0.366300366300366,0,0,1,1,0.439075225013224,-1.81253357426742,0.0265583678785914
"nms4_c",95,339,0.678466076696165,0.467755569987241,1,0.721611721611722,0,0,1,1,-0.760823128614782,-1.42532659096207,0.0254049952845949
"nms5_c",96,339,0.498525073746313,0.500736920075646,0,0.498168498168498,0,0,1,1,0.00587364494136967,-2.0058564016099,0.0271962963341973
"nms6_c",97,339,0.36283185840708,0.481527652299206,0,0.32967032967033,0,0,1,1,0.568040132912368,-1.68226676702075,0.0261529921202159
"nms7_c",98,339,0.36283185840708,0.481527652299206,0,0.32967032967033,0,0,1,1,0.568040132912368,-1.68226676702075,0.0261529921202159
"nms8_c",99,339,0.430678466076696,0.495903168494701,0,0.413919413919414,0,0,1,1,0.278752183949329,-1.92795833344659,0.026933762985585
"nms9_c",100,339,0.528023598820059,0.499951997137173,1,0.534798534798535,0,0,1,1,-0.111774464335814,-1.99336050939827,0.0271536651720474
