"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"X1",1,484,432.904958677686,269.537191063988,398.5,425.829896907216,339.5154,3,915,912,0.2297898316929,-1.16929019652398,12.2516905029086
"study*",2,484,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"nident",3,484,254.392561983471,139.608736113539,260.5,250.55412371134,160.8621,3,540,537,0.147629820110446,-0.991115354900181,6.3458516415245
"country",4,484,8.17148760330578,4.06234196161482,7,8.03865979381443,4.4478,1,16,15,0.28199497446717,-0.89533482030634,0.184651907346128
"age",5,484,64.3388429752066,9.61951408577968,65,64.6159793814433,10.3782,37,88,51,-0.268185413425679,-0.277113603225346,0.437250640262713
"sex",6,484,0,0,0,0,0,0,0,0,NA,NA,0
"pdonset",7,484,56.3388429752066,10.4584784621573,57,56.5180412371134,10.3782,28,85,57,-0.113021304508982,-0.377148834334845,0.475385384643514
"durat_pd",8,484,8,5.81708770062565,7,7.32989690721649,5.9304,0,40,40,1.30748682957138,2.64827631046055,0.264413077301166
"surgery",9,484,0.0392561983471074,0.194404821014168,0,0,0,0,1,1,4.73025153646749,20.4174772663204,0.00883658277337127
"ldopa",10,484,0.799586776859504,0.400723768995598,1,0.873711340206186,0,0,1,1,-1.49213906958868,0.226960727798898,0.0182147167725272
"seleg",11,484,0.0785123966942149,0.269254506914995,0,0,0,0,1,1,3.12430618873901,7.77737090682989,0.0122388412234088
"rasag",12,484,0.177685950413223,0.38264365430386,0,0.0979381443298969,0,0,1,1,1.68118879197392,0.828119542731871,0.0173928933774482
"daagonist",13,484,0.601239669421488,0.490149882426748,1,0.626288659793814,0,0,1,1,-0.412243275671421,-1.83383159222972,0.0222795401103067
"amantad",14,484,0.140495867768595,0.347860306651322,0,0.0515463917525773,0,0,1,1,2.06267486251773,2.25930837866282,0.0158118321205146
"apomorph",15,484,0.00619834710743802,0.0785664118683477,0,0,0,0,1,1,12.5443275268662,155.681822557151,0.00357120053947035
"other",16,484,0.295454545454545,0.456718876887277,0,0.244845360824742,0,0,1,1,0.893866447391562,-1.20347649823577,0.0207599489494217
"scm1rue",17,484,0.729338842975207,0.87942126229887,0,0.605670103092783,0,0,3,3,0.953599115323374,-0.07739552366492,0.0399736937408577
"scm1lue",18,484,0.675619834710744,0.839096815594704,0,0.551546391752577,0,0,3,3,1.02277953949974,0.144235021381372,0.0381407643452138
"scm2rue",19,484,0.638429752066116,0.744510909268504,0,0.525773195876289,0,0,3,3,0.962679296089721,0.35439192242463,0.0338414049667502
