"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"study*",1,897,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"nident",2,897,239.962095875139,143.318532251324,235,235.221140472879,171.9816,1,540,539,0.196058937624001,-0.955359983881549,4.7852665098642
"country",3,897,7.40691192865106,4.28849128821141,6,7.23504867872045,4.4478,1,16,15,0.366641925733656,-0.848753805713635,0.143188556406199
"age",4,897,64.2764771460424,9.8790358879624,65,64.5132127955494,10.3782,34,89,55,-0.218080558983286,-0.423063978160902,0.329851407503346
"sex",5,897,0.377926421404682,0.485139596009089,0,0.347705146036161,0,0,1,1,0.502690312859955,-1.7492488324043,0.016198339634963
"pdonset",6,897,56.298773690078,10.6773881074941,57,56.4005563282337,11.8608,28,89,61,-0.0406471104926117,-0.391113624892212,0.356507612246649
"durat_pd",7,897,7.97770345596433,5.75015081994743,7,7.31571627260083,4.4478,0,40,40,1.30511116265898,2.60534656462652,0.191991947678549
"scm1rue",8,897,0.705685618729097,0.868792395769534,0,0.584144645340751,0,0,3,3,0.962229043203631,-0.0998262859966772,0.0290081337716339
"scm1lue",9,897,0.663322185061315,0.84536769518012,0,0.534075104311544,0,0,3,3,1.06471053676582,0.204451708044922,0.0282260057839041
"scm2rue",10,897,0.61984392419175,0.749528704710222,0,0.500695410292072,0,0,3,3,1.03348013176203,0.487673038828512,0.0250260350318274
"scm2lue",11,897,0.603121516164994,0.740046496303142,0,0.478442280945758,0,0,3,3,1.09566169405889,0.740402867319452,0.0247094333082597
"scm3rue",12,897,1.14046822742475,0.803383611325851,1,1.11543810848401,1.4826,0,3,3,0.296302602453181,-0.415470738084489,0.0268241980256244
"scm3lue",13,897,1.26086956521739,0.847104128030733,1,1.23504867872045,1.4826,0,3,3,0.192371424997307,-0.601463908982419,0.0282839835892593
"scm4rue",14,897,1.11817168338907,0.761426206413561,1,1.10709318497914,0,0,3,3,0.238289562687648,-0.374235915791563,0.0254232810512898
"scm4lue",15,897,1.11928651059086,0.804726788823649,1,1.10013908205841,1.4826,0,3,3,0.230684998108525,-0.576034384261181,0.0268690454169286
"scm5rise",16,897,0.693422519509476,0.862597815924054,0,0.552155771905424,0,0,3,3,1.12210014264326,0.470103770086098,0.0288013027707046
"scm6post",17,897,0.716833890746934,0.871213624118755,0,0.599443671766342,0,0,3,3,0.92402828729387,-0.198227249642911,0.0290889762331792
"scm7gait",18,897,0.957636566332218,0.742815431375778,1,0.916550764951321,0,0,3,3,0.426765046824769,-0.13924955690126,0.0248018853593862
"scm8spee",19,897,0.880713489409142,0.707293274447731,1,0.824756606397775,0,0,3,3,0.532244368149555,0.257001123532655,0.0236158350612445
"scm9free",20,897,0.633221850613155,0.867525465900744,0,0.493741307371349,0,0,3,3,1.13932573270103,0.214934925837702,0.0289658322145622
"scm10swa",21,897,0.435897435897436,0.661913573478123,0,0.308762169680111,0,0,3,3,1.36604611062705,1.13207613214417,0.0221006509474642
"scm11spe",22,897,0.787068004459309,0.727589271685625,1,0.713490959666203,1.4826,0,3,3,0.609720586438588,-0.0421971390049292,0.0242934986846514
"scm12fee",23,897,0.882943143812709,0.743054919875554,1,0.824756606397775,0,0,3,3,0.533050723688321,-0.0378008340965934,0.0248098816476504
"scm13dre",24,897,1.03790412486065,0.740046496303142,1,1.00834492350487,0,0,3,3,0.402006382547454,-0.0205631970789621,0.0247094333082597
"scm14hyg",25,897,0.950947603121516,0.719500147778504,1,0.90125173852573,0,0,3,3,0.557796490719216,0.410563984753932,0.0240234106986887
"scm15cha",26,897,0.98216276477146,0.802976191214057,1,0.924895688456189,1.4826,0,3,3,0.523072733142995,-0.183686910002054,0.0268105946640368
"scm16wal",27,897,0.998885172798216,0.734207910453989,1,0.956884561891516,0,0,3,3,0.508750809459805,0.237216731402073,0.0245144886009003
"scm17han",28,897,1.17056856187291,0.755118700781188,1,1.14603616133519,0,0,3,3,0.453408274184976,0.0982237000802662,0.0252126795680815
"scm18dpr",29,897,0.552954292084727,0.837016565646931,0,0.390820584144645,0,0,3,3,1.41255306270787,1.0681182592037,0.0279471696847133
"scm19dsv",30,897,0.555183946488294,0.846156221492561,0,0.394993045897079,0,0,3,3,1.38383759077805,0.897844611013915,0.0282523339111588
"scm20fpr",31,897,0.775919732441472,0.849080296964183,1,0.677329624478442,1.4826,0,3,3,0.781908123189394,-0.316805067188013,0.0283499659494365
"scm21fsv",32,897,0.843924191750279,0.939075691816683,1,0.731571627260083,1.4826,0,3,3,0.742261169476301,-0.597112515309507,0.0313548247228607
"hy",33,897,2.45150501672241,0.934304356041493,2,2.41307371349096,1.4826,1,5,4,0.452473024869293,-0.124801519496536,0.0311955144582796
"cisimot",34,897,2.81047937569677,1.18857164702892,3,2.78998609179416,1.4826,0,6,6,0.221612008092333,-0.416394085062777,0.039685252198423
"cisidis",35,897,2.41583054626533,1.34790479203698,2,2.37273991655076,1.4826,0,6,6,0.300322313166364,-0.360994157632446,0.0450052310646686
"cisicomp",36,897,1.7123745819398,1.72034589614674,1,1.52712100139082,1.4826,0,6,6,0.605530337232722,-0.774549370897367,0.0574406775794847
"cisicog",37,897,1.35451505016722,1.36574164426935,1,1.16968011126565,1.4826,0,6,6,0.916635076125959,0.168198730067751,0.0456007862262251
