"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"X1",1,297,449.744107744108,267.860886596391,431,447.179916317992,342.4806,1,913,912,0.0937140558631875,-1.24021409538547,15.5428650869716
"study*",2,297,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"nident",3,297,253.380471380471,140.436385602622,244,248.401673640167,163.086,1,537,536,0.236200852807129,-0.943493639495332,8.14894560553166
"country",4,297,8.17845117845118,3.99135132892175,7,7.98326359832636,4.4478,1,16,15,0.352917148690893,-0.812074051863347,0.231601694478119
"age",5,297,65.3097643097643,9.9443556045733,66,65.4518828451883,10.3782,38,89,51,-0.144392378535089,-0.607801405910703,0.577030037878009
"sex",6,297,1,0,1,1,0,1,1,0,NA,NA,0
"pdonset",7,297,57.4276094276094,10.9915037216549,57,57.3807531380753,11.8608,32,89,57,0.0659875649309212,-0.51096596837439,0.637791734431339
"durat_pd",8,297,7.88215488215488,5.83178482625296,6,7.21338912133891,4.4478,0,39,39,1.33283928573032,2.7733405106416,0.338394477530707
"surgery",9,297,0.0471380471380471,0.212291768723601,0,0,0,0,1,1,4.25204583159801,16.1342518061296,0.0123184178260312
"ldopa",10,297,0.801346801346801,0.399659742440879,1,0.874476987447699,0,0,1,1,-1.5029392943997,0.259735023312976,0.023190610381322
"seleg",11,297,0.0774410774410774,0.267741146791676,0,0,0,0,1,1,3.14584568184873,7.92305598213936,0.0155359170787951
"rasag",12,297,0.121212121212121,0.326924466627395,0,0.0292887029288703,0,0,1,1,2.30947841022178,3.34498708201251,0.0189700816083546
"daagonist",13,297,0.558922558922559,0.497353996023956,1,0.573221757322176,0,0,1,1,-0.236146354257685,-1.9507691737829,0.0288594059360166
"amantad",14,297,0.178451178451178,0.3835383254665,0,0.100418410041841,0,0,1,1,1.67110374273145,0.795299466918222,0.022255150888794
"apomorph",15,297,0.0101010101010101,0.100163666230625,0,0,0,0,1,1,9.74903409039208,93.3580364907926,0.00581208540978536
"other",16,297,0.245791245791246,0.431282026062049,0,0.184100418410042,0,0,1,1,1.17488240718365,-0.62171065920893,0.0250255213842352
"scm1rue",17,297,0.63973063973064,0.859075513567194,0,0.514644351464435,0,0,3,3,1.04615873567023,-0.0713192314837485,0.0498486172302381
"scm1lue",18,297,0.666666666666667,0.892915056036854,0,0.523012552301255,0,0,3,3,1.12561551312431,0.206251283623688,0.0518121866408153
"scm2rue",19,297,0.548821548821549,0.738749142639297,0,0.414225941422594,0,0,3,3,1.2354054842855,0.972008458998147,0.0428665730299767
